model,fold,MAE,WMAPE,Bias,RMSSE,interval_coverage
seasonal_naive,1,1.4235714285714285,1.2566204287515763,0.0832282471626734,1.1066422212776872,
lightgbm,1,0.9835256023738687,0.8681814901156469,-0.4768887694666349,0.853503441504277,0.9064285714285715
seasonal_naive,2,1.4032142857142857,1.133256417652149,-0.09431785405249495,1.0887131149792884,
lightgbm,2,1.0092614782093963,0.8150943579424026,-0.5450102493103872,0.8673189587771029,0.9007142857142857
seasonal_naive,3,1.3375,1.0789397868049553,-0.0930567559781043,1.0630747487704384,
lightgbm,3,1.0358765505768348,0.835624990381774,-0.5464409701566512,0.872436638766701,0.8925
